fromId,toId,bike_time
06085512042,06085512042,0
06085512042,06085503306,80
06085512042,06085503108,79
06085512042,06085503323,86
06085512042,06085503401,82
06085512042,06085512020,25
06085512042,06085503110,75
06085512042,06085512029,28
06085512042,06085503118,57
06085512042,06085503116,45
06085512042,06085511913,85
06085512042,06085503703,90
06085512042,06085503105,79
06085512042,06085503710,100
06085512042,06085503003,77
06085512042,06085503211,50
06085512042,06085500902,84
06085512042,06085501402,89
06085512042,06085512026,29
06085512042,06085512032,49
06085512042,06085500400,119
06085512042,06085503121,76
06085512042,06085502800,110
06085512042,06085512019,35
06085512042,06085503001,86
06085512042,06085512031,41
06085512042,06085501401,96
06085512042,06085503324,81
06085512042,06085503511,96
06085512042,06085512045,43
06085512042,06085512023,24
06085512042,06085503402,79
06085512042,06085503002,80
06085512042,06085503601,100
06085512042,06085512038,71
06085512042,06085503507,86
06085512042,06085512047,46
06085512042,06085503713,111
06085512042,06085503510,103
06085512042,06085511916,83
06085512042,06085503117,67
06085512042,06085512037,36
06085512042,06085503218,27
06085512042,06085503329,74
06085512042,06085506803,97
06085512042,06085500100,103
06085512042,06085503707,108
06085512042,06085503212,47
06085512042,06085511912,95
06085512042,06085503336,56
06085512042,06085503210,31
06085512042,06085501200,96
06085512042,06085502906,85
06085512042,06085501501,84
06085512042,06085501600,82
06085512042,06085503111,60
06085512042,06085503712,109
06085512042,06085501502,84
06085512042,06085503113,85
06085512042,06085503123,95
06085512042,06085504319,119
06085512042,06085512039,36
06085512042,06085503711,94
06085512042,06085503321,81
06085512042,06085503509,101
06085512042,06085503112,77
06085512042,06085503313,86
06085512042,06085503217,31
06085512042,06085503508,107
06085512042,06085503333,64
06085512042,06085501000,93
06085512042,06085502603,112
06085512042,06085503207,40
06085512042,06085500200,107
06085512042,06085503315,69
06085512042,06085503332,106
06085512042,06085500500,119
06085512042,06085512025,40
06085512042,06085502908,93
06085512042,06085504101,119
06085512042,06085503122,73
06085512042,06085512030,40
06085512042,06085511914,80
06085512042,06085502907,85
06085512042,06085504001,107
06085512042,06085512017,14
06085512042,06085503506,91
06085512042,06085506802,113
06085512042,06085506804,114
06085512042,06085503204,41
06085512042,06085503326,92
06085512042,06085512001,52
06085512042,06085503327,64
06085512042,06085512036,36
06085512042,06085503504,83
06085512042,06085501700,90
06085512042,06085502901,113
06085512042,06085500901,91
06085512042,06085512027,47
06085512042,06085503902,119
06085512042,06085511915,78
06085512042,06085512021,15
06085512042,06085502301,98
06085512042,06085500600,118
06085512042,06085502601,105
06085512042,06085512005,57
06085512042,06085502702,120
06085512042,06085503330,113
06085512042,06085504102,114
06085512042,06085503115,58
06085512042,06085512024,60
06085512042,06085511910,95
06085512042,06085503304,66
06085512042,06085512033,49
06085512042,06085500800,96
06085512042,06085504002,100
06085512042,06085512022,20
06085512042,06085502909,78
06085512042,06085512034,57
06085512042,06085501900,104
06085512042,06085502202,107
06085512042,06085512052,55
06085512042,06085503337,51
06085512042,06085503331,89
06085512042,06085503325,75
06085512042,06085503709,108
06085512042,06085501102,102
06085512042,06085511907,81
06085512042,06085502201,112
06085512042,06085502902,105
06085512042,06085512053,49
06085512042,06085502500,88
06085512042,06085503214,59
06085512042,06085503208,23
06085512042,06085502002,112
06085512042,06085500300,106
06085512042,06085502400,96
06085512042,06085503213,42
06085512042,06085502903,97
06085512042,06085501101,97
06085512042,06085512035,66
06085512042,06085501300,90
06085512042,06085502910,73
06085512042,06085503322,90
06085512042,06085502302,103
06085512042,06085506900,114
06085512042,06085512043,11
06085512042,06085503903,116
06085512042,06085511905,94
06085512042,06085503305,72
06085512042,06085503602,92
06085512042,06085501800,99
06085503306,06085512042,80
06085503306,06085503306,0
06085503306,06085503108,102
06085503306,06085503323,36
06085503306,06085503401,13
06085503306,06085512020,89
06085503306,06085503110,32
06085503306,06085512029,100
06085503306,06085503118,34
06085503306,06085503116,96
06085503306,06085504418,105
06085503306,06085503703,18
06085503306,06085503105,44
06085503306,06085503710,27
06085503306,06085503003,104
06085503306,06085503211,32
06085503306,06085500902,54
06085503306,06085501402,43
